Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid
2011-02-02,29.77,33.66,220.15,265.44,220.15,265.44,220.15,265.44
2011-02-04,30.47,34.45,224.9,271.72,224.9,271.72,224.9,271.72
2011-02-09,30.72,34.74,226.87,273.78,226.87,273.78,226.87,273.78
2011-02-10,30.56,34.56,225.4,272.12,225.4,272.12,225.4,272.12
2011-02-11,30.9,34.94,228.37,275.59,228.37,275.59,228.37,275.59
2011-02-16,31.23,35.31,230.37,278.57,230.37,278.57,230.37,278.57
2011-02-22,31.71,35.85,234.41,282.71,234.41,282.71,234.41,282.71
2011-02-24,31.45,35.57,232.02,280.5,232.02,280.5,232.02,280.5
2011-02-25,31.31,35.41,231.25,278.81,231.25,278.81,231.25,278.81
2011-02-28,31.59,35.72,233.58,281.4,233.58,281.4,233.58,281.4
2011-03-02,31.97,36.14,235.86,284.61,235.86,284.61,235.86,284.61
2011-03-03,31.57,35.7,233.15,281.44,233.15,281.44,233.15,281.44
2011-03-04,31.23,35.31,230.93,278.13,230.93,278.13,230.93,278.13
2011-03-08,31.44,35.56,232.02,279.98,232.02,279.98,232.02,279.98
2011-03-10,31.69,35.84,233.82,282.16,233.82,282.16,233.82,282.16
2011-03-11,31.42,35.52,231.85,280.18,231.85,280.18,231.85,280.18
2011-03-15,31.23,35.31,230.81,278.07,230.81,278.07,230.81,278.07
2011-03-16,30.74,34.75,227.15,274.07,227.15,274.07,227.15,274.07
2011-03-21,30.97,35.01,228.89,276.21,228.89,276.21,228.89,276.21
2011-03-24,31.39,35.49,231.69,280.14,231.69,280.14,231.69,280.14
2011-03-28,31.18,35.24,230.06,277.72,230.06,277.72,230.06,277.72
2011-03-29,30.97,35.01,228.66,276.14,228.66,276.14,228.66,276.14
2011-04-06,31.36,35.46,231.65,279.68,231.65,279.68,231.65,279.68
2011-04-12,31.09,35.15,229.31,276.86,229.31,276.86,229.31,276.86
2011-04-15,31.32,35.42,231.69,279.25,231.69,279.25,231.69,279.25
2011-04-18,31.8,35.96,234.61,283.29,234.61,283.29,234.61,283.29
2011-04-19,32.17,36.39,237.8,287.04,237.8,287.04,237.8,287.04
2011-04-20,32.05,36.23,236.45,285.21,236.45,285.21,236.45,285.21
2011-04-21,31.78,35.94,234.88,283.13,234.88,283.13,234.88,283.13
2011-04-27,31.58,35.71,233.56,281.46,233.56,281.46,233.56,281.46
2011-04-29,31.8,35.96,234.73,283.81,234.73,283.81,234.73,283.81
2011-05-02,32.19,36.42,238.01,286.67,238.01,286.67,238.01,286.67
2011-05-04,31.84,36.0,235.15,283.61,235.15,283.61,235.15,283.61
2011-05-05,31.48,35.6,232.25,280.4,232.25,280.4,232.25,280.4
2011-05-09,32.13,36.32,236.96,286.46,236.96,286.46,236.96,286.46
2011-05-10,32.41,36.66,239.52,288.62,239.52,288.62,239.52,288.62
2011-05-18,32.16,36.36,237.65,286.77,237.65,286.77,237.65,286.77
2011-05-23,32.99,37.3,243.77,293.73,243.77,293.73,243.77,293.73
2011-05-24,33.17,37.51,245.34,295.42,245.34,295.42,245.34,295.42
2011-05-25,33.35,37.71,246.27,297.19,246.27,297.19,246.27,297.19
2011-05-26,33.05,37.37,244.19,294.68,244.19,294.68,244.19,294.68
2011-05-27,32.91,37.21,242.93,293.17,242.93,293.17,242.93,293.17
2011-05-30,33.09,37.41,244.65,294.94,244.65,294.94,244.65,294.94
2011-05-31,32.86,37.15,242.7,292.59,242.7,292.59,242.7,292.59
2011-06-01,32.6,36.86,241.15,290.82,241.15,290.82,241.15,290.82
2011-06-02,32.96,37.26,243.63,293.62,243.63,293.62,243.63,293.62
2011-06-03,32.49,36.74,240.35,289.86,240.35,289.86,240.35,289.86
2011-06-08,32.31,36.54,238.73,287.73,238.73,287.73,238.73,287.73
2011-06-10,32.73,37.0,241.66,291.97,241.66,291.97,241.66,291.97
2011-06-14,32.36,36.63,239.14,288.69,239.14,288.69,239.14,288.69
2011-06-16,33.2,37.54,245.61,296.29,245.61,296.29,245.61,296.29
2011-06-21,33.06,37.37,244.04,294.85,244.04,294.85,244.04,294.85
2011-06-24,32.84,37.13,242.67,292.86,242.67,292.86,242.67,292.86
2011-06-27,32.68,36.95,241.56,291.27,241.56,291.27,241.56,291.27
2011-06-28,32.25,36.47,238.33,287.48,238.33,287.48,238.33,287.48
2011-06-30,32.07,36.26,237.11,285.63,237.11,285.63,237.11,285.63
2011-07-01,31.8,35.95,235.02,283.4,235.02,283.4,235.02,283.4
2011-07-04,31.55,35.68,232.97,281.13,232.97,281.13,232.97,281.13
2011-07-05,31.76,35.91,234.34,282.78,234.34,282.78,234.34,282.78
2011-07-06,32.24,36.46,238.13,287.58,238.13,287.58,238.13,287.58
2011-07-07,32.9,37.19,243.16,293.25,243.16,293.25,243.16,293.25
2011-07-11,33.5,37.88,247.43,298.83,247.43,298.83,247.43,298.83
